pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,industry,att,pre_mspe,n_donors
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Income: Accommodation and food services,2.7564764139196876,4.60819428326719,1845
P1,All Australia (exc. Greater Sydney),120021387,Balmain,Spillover,spillover,Income: Arts and recreation services,-15.778412251298136,0.5794826453387278,1632
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Total,-5.060197950346809,1.3825467108704703,1874
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Accommodation and food services,-8.470973003889787,16.947181616667784,1843
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Arts and recreation services,0.7128894465338907,1.3449849997592342,1631
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Retail trade,-3.0868444255415377,4.494783865860077,1846
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Population,-0.9303882591397278,0.01450890301006869,1870
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Income: Total,3.013171074591407,8.807497057158145,1872
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Income: Retail trade,-19.8077875749393,2.065143771526986,1849
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Income: Accommodation and food services,-2.5173982452455044,169.44723970645583,1845
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Income: Arts and recreation services,-15.73997589946934,610.7857523181099,1632
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Total,-6.948044047218723,0.7976620010114776,1874
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Accommodation and food services,-5.606144537584679,0.3467821680334038,1844
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Arts and recreation services,5.814778876058194,2.447886050964425,1622
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Retail trade,-8.528913399266818,3.5753463825231715,1846
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Population,-1.510059911836502,0.00511101209205205,1870
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Income: Total,-1.767179649456357,2.4570858865020258,1872
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Income: Retail trade,-10.89107523045864,8.528081117959093,1849
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Income: Accommodation and food services,-6.696166182363645,1.0936759530567808,1845
P1,All Australia (exc. Greater Sydney),118011345,Paddington - Moore Park,Spillover,spillover,Income: Arts and recreation services,-6.422877812661206,129.9776182587069,1632
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Total,-3.458501510721964,4.601689716479029,1872
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Accommodation and food services,17.66509190950454,13.855399574902057,1845
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Arts and recreation services,0.8329433339194594,1.316606882310351,1631
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Retail trade,-7.075646395590465,0.14489631780062756,1846
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Population,-2.9019895617106735,0.015285303000286,1874
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Income: Total,-10.57143763726401,6.595021531205907,1872
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Income: Retail trade,-23.213715862205262,88.69999945690108,1831
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Income: Accommodation and food services,-16.368759549799137,76.25593799132756,1845
P1,All Australia (exc. Greater Sydney),118011341,Bondi Junction - Waverly,Spillover,spillover,Income: Arts and recreation services,-22.33907876821536,27.26315742600228,1632
P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,8.667721456664466,2.689340309624593,1613
P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,-15.943946166166327,0.00689352861003345,1616
P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,5.206345461591312,8.449915300625662,1591
P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,7.948344549005728,0.22465162175651496,1586
P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,22.901449236594527,2.5964376585318405,1423
P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Total,0.05942947698428943,0.071382948265204485,1612
P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Retail trade,-9.751936644003427,1.6368733988588384,1589
P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Accommodation and food services,3.35730478762031,0.00865786644201045,1585
P2,All Australia exc. NSW,117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Arts and recreation services,-16.234657210872943,0.384729256039927,1425
P2,All Australia exc. NSW,117031329,Darlinghurst,Full,treated,Total,-4.244082500001883,0.35892181105841425,1616
P2,All Australia exc. NSW,117031329,Darlinghurst,Full,treated,Population,-19.888136984793967,0.02834301546408727,1616
P2,All Australia exc. NSW,117031329,Darlinghurst,Full,treated,Retail trade,-5.820598751218017,8.565663976560952,1588
P2,All Australia exc. NSW,117031329,Darlinghurst,Full,treated,Accommodation and food services,-11.679693015270336,3.811002460883483,1585
P2,All Australia exc. NSW,117031329,Darlinghurst,Full,treated,Income: Total,2.177268894400638,5.449041064819474,1615
P2,All Australia exc. NSW,117031329,Darlinghurst,Full,treated,Income: Retail trade,6.045367846962641,14.365969157967529,1589
P2,All Australia exc. NSW,117031329,Darlinghurst,Full,treated,Income: Accommodation and food services,-3.610051967933269,6.643508455871341,1586
P2,All Australia exc. NSW,117031333,Potts Point - Woolloomooloo,Full,treated,Total,-5.499271410776072,0.7264734741350166,1616
P2,All Australia exc. NSW,117031333,Potts Point - Woolloomooloo,Full,treated,Population,-10.355439792602942,0.1518043135371142,1616
P2,All Australia exc. NSW,117031333,Potts Point - Woolloomooloo,Full,treated,Retail trade,-7.76748229206828,3.935310152374999,1588
P2,All Australia exc. NSW,117031333,Potts Point - Woolloomooloo,Full,treated,Accommodation and food services,-12.328993398056523,0.3202923023557962,1587
P2,All Australia exc. NSW,117031333,Potts Point - Woolloomooloo,Full,treated,Arts and recreation services,-2.2384758526210007,21.14409661727421,1422
P2,All Australia exc. NSW,117031333,Potts Point - Woolloomooloo,Full,treated,Income: Total,10.40442578250276,0.5049238987890214,1615
P2,All Australia exc. NSW,117031333,Potts Point - Woolloomooloo,Full,treated,Income: Retail trade,6.170766863266739,10.268297628863202,1591
P2,All Australia exc. NSW,117031333,Potts Point - Woolloomooloo,Full,treated,Income: Accommodation and food services,-2.284217851969153,6.115438583903714,1585
P2,All Australia exc. NSW,117031333,Potts Point - Woolloomooloo,Full,treated,Income: Arts and recreation services,-0.5061844193779024,39.55806790514259,1425
P2,All Australia exc. NSW,117031336,Surry Hills,Partial,treated,Total,1.2792388284664753,0.35382405148230145,1616
P2,All Australia exc. NSW,117031336,Surry Hills,Partial,treated,Population,-2.4483013243177254,0.0033932938786464,1615
P2,All Australia exc. NSW,117031336,Surry Hills,Partial,treated,Retail trade,-3.754547896569401,2.556107287553778,1591
P2,All Australia exc. NSW,117031336,Surry Hills,Partial,treated,Accommodation and food services,-0.7220230484291955,0.46725835363072543,1586
P2,All Australia exc. NSW,117031336,Surry Hills,Partial,treated,Income: Total,-9.803764439673422,6.448963019998031,1615
P2,All Australia exc. NSW,117031336,Surry Hills,Partial,treated,Income: Retail trade,-9.039523598921386,10.437429217980934,1587
P2,All Australia exc. NSW,117031336,Surry Hills,Partial,treated,Income: Accommodation and food services,-8.463154491210263,8.788061790107177,1587
P2,All Australia exc. NSW,117031334,Pyrmont - Ultimo,Partial,treated,Total,-10.0435455524975,0.5771516771577542,1614
P2,All Australia exc. NSW,117031334,Pyrmont - Ultimo,Partial,treated,Population,-12.319651969836968,0.04124763821908673,1616
P2,All Australia exc. NSW,117031334,Pyrmont - Ultimo,Partial,treated,Retail trade,3.5728933562342533,8.493927656084495,1591
P2,All Australia exc. NSW,117031334,Pyrmont - Ultimo,Partial,treated,Accommodation and food services,-16.60315870194727,0.01291335566314555,1583
P2,All Australia exc. NSW,117031334,Pyrmont - Ultimo,Partial,treated,Arts and recreation services,13.074625038492933,0.7849607482435312,1424
P2,All Australia exc. NSW,117031334,Pyrmont - Ultimo,Partial,treated,Income: Total,-28.81906794811717,18.741179654849823,1571
P2,All Australia exc. NSW,117031334,Pyrmont - Ultimo,Partial,treated,Income: Retail trade,-15.282529152715922,60.09363895880862,1591
P2,All Australia exc. NSW,117031334,Pyrmont - Ultimo,Partial,treated,Income: Accommodation and food services,-11.72812060162202,0.10089706848461304,1587
P2,All Australia exc. NSW,117031334,Pyrmont - Ultimo,Partial,treated,Income: Arts and recreation services,-38.534288194862455,0.7692279735658423,1425
P2,All Australia exc. NSW,117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Total,-5.815302722511238,1.3017740572666552,1615
P2,All Australia exc. NSW,117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Accommodation and food services,5.113160797418014,1.2658608048567652,1587
P2,All Australia exc. NSW,117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Arts and recreation services,12.511703026102683,7.35505413705257,1422
P2,All Australia exc. NSW,117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Retail trade,0.5364199541718406,1.5503282506896796,1591
P2,All Australia exc. NSW,117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Population,-6.773609888645019,5.474616969430008e-5,1616
P2,All Australia exc. NSW,117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Income: Total,-4.4087884716493235,35.47388300285705,1615
P2,All Australia exc. NSW,117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Income: Retail trade,-9.01944195645339,2.447327577537808,1591
P2,All Australia exc. NSW,117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Income: Accommodation and food services,-14.378480121505618,15.039008048132406,1585
P2,All Australia exc. NSW,117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Income: Arts and recreation services,-6.7664650177768,31.075261321607616,1425
P2,All Australia exc. NSW,117031331,Glebe - Forest Lodge,Spillover,spillover,Total,-2.069513783427825,0.03759283238529511,1614
P2,All Australia exc. NSW,117031331,Glebe - Forest Lodge,Spillover,spillover,Accommodation and food services,-6.686418253818471,3.311464219783291,1583
P2,All Australia exc. NSW,117031331,Glebe - Forest Lodge,Spillover,spillover,Arts and recreation services,8.85709896153095,1.896324336560276,1422
P2,All Australia exc. NSW,117031331,Glebe - Forest Lodge,Spillover,spillover,Retail trade,-3.6411836022797672,1.043319408159336,1588
P2,All Australia exc. NSW,117031331,Glebe - Forest Lodge,Spillover,spillover,Population,-3.576631008863648,1.805880392108455e-5,1616
P2,All Australia exc. NSW,117031331,Glebe - Forest Lodge,Spillover,spillover,Income: Total,-5.011250028281853,1.1248852282560715,1614
P2,All Australia exc. NSW,117031331,Glebe - Forest Lodge,Spillover,spillover,Income: Retail trade,-11.715122030164997,4.050017669932897e-4,1591
P2,All Australia exc. NSW,117031331,Glebe - Forest Lodge,Spillover,spillover,Income: Accommodation and food services,-10.737291411109473,0.02729255499766895,1584
P2,All Australia exc. NSW,117031331,Glebe - Forest Lodge,Spillover,spillover,Income: Arts and recreation services,-4.335438567287862,112.04523833268162,1425
P2,All Australia exc. NSW,117031335,Redfern - Chippendale,Spillover,spillover,Total,-8.119252303583366,0.16282302707206092,1614
P2,All Australia exc. NSW,117031335,Redfern - Chippendale,Spillover,spillover,Accommodation and food services,0.07854855505764391,3.6190646950842345,1583
P2,All Australia exc. NSW,117031335,Redfern - Chippendale,Spillover,spillover,Arts and recreation services,4.891425345710654,21.98869279350368,1421
P2,All Australia exc. NSW,117031335,Redfern - Chippendale,Spillover,spillover,Retail trade,6.928423144420961,0.2743094953849129,1589
P2,All Australia exc. NSW,117031335,Redfern - Chippendale,Spillover,spillover,Population,-26.544502656601217,0.3718719316766931,1616
P2,All Australia exc. NSW,117031335,Redfern - Chippendale,Spillover,spillover,Income: Total,-5.1839610540612044,14.412267192203895,1615
P2,All Australia exc. NSW,117031335,Redfern - Chippendale,Spillover,spillover,Income: Retail trade,-14.026934517019576,30.211896521873,1591
P2,All Australia exc. NSW,117031335,Redfern - Chippendale,Spillover,spillover,Income: Accommodation and food services,-6.371226405239848,0.2802576223810501,1586
