Role,Pool,SA2,Status,Industry,ATT (index pts),Pre-MSPE,p-value,Sig,N donors
treated,All Australia exc. NSW,Sydney - Haymarket - The Rocks,Full,Income: Arts and recreation services,-16.2 pp,0.38,—,,1425
treated,All Australia exc. NSW,Darlinghurst,Full,Total,-4.2 pp,0.36,—,,1616
treated,All Australia exc. NSW,Darlinghurst,Full,Population,-19.9 pp,0.03,—,,1616
treated,All Australia exc. NSW,Darlinghurst,Full,Retail trade,-5.8 pp,8.57,—,,1588
treated,All Australia exc. NSW,Darlinghurst,Full,Accommodation and food services,-11.7 pp,3.81,—,,1585
treated,All Australia exc. NSW,Darlinghurst,Full,Income: Total,+2.2 pp,5.45,—,,1615
treated,All Australia exc. NSW,Darlinghurst,Full,Income: Retail trade,+6.0 pp,14.37,—,,1589
treated,All Australia exc. NSW,Darlinghurst,Full,Income: Accommodation and food services,-3.6 pp,6.64,—,,1586
treated,All Australia exc. NSW,Potts Point - Woolloomooloo,Full,Total,-5.5 pp,0.73,—,,1616
treated,All Australia exc. NSW,Potts Point - Woolloomooloo,Full,Population,-10.4 pp,0.15,—,,1616
treated,All Australia exc. NSW,Potts Point - Woolloomooloo,Full,Retail trade,-7.8 pp,3.94,—,,1588
treated,All Australia exc. NSW,Potts Point - Woolloomooloo,Full,Accommodation and food services,-12.3 pp,0.32,—,,1587
treated,All Australia exc. NSW,Potts Point - Woolloomooloo,Full,Arts and recreation services,-2.2 pp,21.14,—,,1422
treated,All Australia exc. NSW,Potts Point - Woolloomooloo,Full,Income: Total,+10.4 pp,0.50,—,,1615
treated,All Australia exc. NSW,Potts Point - Woolloomooloo,Full,Income: Retail trade,+6.2 pp,10.27,—,,1591
treated,All Australia exc. NSW,Potts Point - Woolloomooloo,Full,Income: Accommodation and food services,-2.3 pp,6.12,—,,1585
treated,All Australia exc. NSW,Potts Point - Woolloomooloo,Full,Income: Arts and recreation services,-0.5 pp,39.56,—,,1425
treated,All Australia exc. NSW,Surry Hills,Partial,Total,+1.3 pp,0.35,—,,1616
treated,All Australia exc. NSW,Surry Hills,Partial,Population,-2.4 pp,0.00,—,,1615
treated,All Australia exc. NSW,Surry Hills,Partial,Retail trade,-3.8 pp,2.56,—,,1591
treated,All Australia exc. NSW,Surry Hills,Partial,Accommodation and food services,-0.7 pp,0.47,—,,1586
treated,All Australia exc. NSW,Surry Hills,Partial,Income: Total,-9.8 pp,6.45,—,,1615
treated,All Australia exc. NSW,Surry Hills,Partial,Income: Retail trade,-9.0 pp,10.44,—,,1587
