pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,outcome_type,industry,att_index_pts,pre_mspe,n_donors,base_value,att_pct,att_raw
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Employment,Arts and recreation services,0.7128894465338907,1.3449849997592342,1631,0.266,0.007128894465338907,0.0018962859277801495
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Employment,Retail trade,-3.0868444255415377,4.494783865860077,1846,0.623,-0.030868444255415378,-0.01923104077112378
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Employment,Total,-5.060197950346809,1.3825467108704703,1874,11.495,-0.05060197950346809,-0.5816697543923657
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Median income,Accommodation and food services,-2.5173982452455044,169.44723970645583,1845,8382,-0.025173982452455043,-211.00832091647817
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Median income,Arts and recreation services,-15.73997589946934,610.7857523181099,1632,13288,-0.15739975899469338,-2091.5279975214858
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Median income,Retail trade,-19.8077875749393,2.065143771526986,1849,19070,-0.198077875749393,-3777.3450905409245
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Median income,Total,3.013171074591407,8.807497057158145,1872,39388,0.030131710745914073,1186.8278228600634
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Population,Population,-0.9303882591397278,0.01450890301006869,1870,14031,-0.009303882591397278,-130.5427766398952
P1,All Australia (exc. Greater Sydney),120021389,Lilyfield - Rozelle,Spillover,spillover,Rent,Rent (monthly avg),13.565665306907725,NA,NA,1965,0.13565665306907726,266.56532328073683
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Employment,Accommodation and food services,-12.4475328826046,4.1736687212054235,1843,1.76,-0.124475328826046,-0.21907657873384098
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Employment,Retail trade,-5.803047910292712,8.89811570112241,1846,0.804,-0.058030479102927114,-0.046656505198753404
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Employment,Total,-4.223461497829983,0.4754227099668874,1874,13.419,-0.04223461497829983,-0.5667462983938054
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Median income,Accommodation and food services,-3.634435364474508,5.942950377401228,1844,7085,-0.03634435364474508,-257.4997455730189
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Median income,Retail trade,5.982376738561818,13.4587536611845,1849,15451,0.05982376738561818,924.3370298751865
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Median income,Total,1.7837997900941929,6.898762061307778,1873,19963,0.01783799790094193,356.0999520965037
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Population,Population,-20.963459191175502,0.0492956844381866,1874,11251,-0.20963459191175501,-2358.5987935991557
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Rent,Rent (monthly avg),9.507405968680633,NA,NA,1967,0.09507405968680632,187.01067540394803
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Employment,Accommodation and food services,-13.088402529256289,0.22234218697281485,1845,2.951,-0.13088402529256288,-0.38623875863835305
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Employment,Arts and recreation services,-2.6023986903731875,22.21453589521783,1627,0.511,-0.026023986903731876,-0.013298257307806989
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Employment,Retail trade,-7.678784781704077,4.16491122576106,1846,1.415,-0.07678784781704077,-0.1086548046611127
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Employment,Total,-5.271189760416415,0.9748650758093726,1874,24.612,-0.05271189760416415,-1.297345223833688
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Median income,Accommodation and food services,-2.331060195885103,5.828294562137177,1841,6693,-0.02331060195885103,-156.01785891058995
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Median income,Arts and recreation services,0.745749222634205,49.9869735032129,1632,10369,0.00745749222634205,77.32673689494071
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Median income,Retail trade,6.111082378457233,11.076299935693132,1849,14126,0.06111082378457233,863.2514967808688
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Median income,Total,10.001643589673842,0.9365648095230976,1873,15069,0.10001643589673842,1507.1476725279513
