year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,industry,pre_mspe
2011,97.17314487632511,92.5291190650533,4.644025811271817,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Arts and recreation services,21.56691199222282
2012,90.28268551236751,94.92669759769704,-4.6440120853295355,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Arts and recreation services,21.56691199222282
2013,100,99.99999999985704,1.4296119843493216e-10,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Arts and recreation services,21.56691199222282
2014,94.52296819787986,100.57662511180301,-6.053656913923149,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Arts and recreation services,21.56691199222282
2015,103.18021201413428,99.22920570532906,3.951006308805219,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Arts and recreation services,21.56691199222282
2016,102.65017667844523,103.10980175958123,-0.45962508113599654,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Arts and recreation services,21.56691199222282
2017,102.82685512367492,105.12609301405081,-2.299237890375892,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Arts and recreation services,21.56691199222282
2018,102.82685512367492,112.25383802834509,-9.426982904670169,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Arts and recreation services,21.56691199222282
2011,100.41095890410959,98.40283919469293,2.008119709416661,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Retail trade,4.03254027605206
2012,96.91780821917808,98.92592569202584,-2.0081174728477578,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Retail trade,4.03254027605206
2013,100,99.99999999887486,1.1251444220761186e-9,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Retail trade,4.03254027605206
2014,101.23287671232877,101.85135953003451,-0.6184828177057398,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Retail trade,4.03254027605206
