location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id,displacement_pct
Potts Point - Woolloomooloo,15000,-75099.66317094819,-79852.84332452419,-4753.180153576002,-66691.89965042663,-68753.79850279211,-2061.8988523654843,370878228,386467160.50374186,15588932.50374186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Pyrmont - Ultimo,15000,-75665.08773201128,-72502.68794113159,3162.399790879688,-66271.12699148398,-68666.8573489417,-2395.7303574577236,384576844.5,245129321.62661505,-139447522.87338495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Redfern - Chippendale,15000,-78049.88483541388,-84792.87496935694,-6742.990133943065,-67746.8090352867,-72633.79922517277,-4886.99018988607,335991166.5,291950456.74528337,-44040709.754716635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Surry Hills,15000,-85954.70729308607,-83157.91590591538,2796.7913871706987,-69348.25030352178,-69638.56707914629,-290.3167756245093,434639725,396545272.040354,-38094452.95964599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Sydney - Haymarket - The Rocks,15000,-66626.88614864564,-72112.94192657428,-5486.055777928632,-63077.90885562853,-66099.40112453677,-3021.492268908245,316781790,343897672.92797166,27115882.92797166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Waterloo - Beaconsfield,15000,-79392.3064177801,-97118.20666363568,-17725.900245855577,-64006.17617869185,-72072.52753484156,-8066.351356149709,552057144,487992801.597982,-64064342.40201801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Bondi Junction - Waverly,15000,-80273.56824370129,-77726.9732180056,2546.5950256956858,-69142.71950860387,-69810.49989085358,-667.780382249708,343127744.00000006,296241651.08927274,-46886092.91072732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Paddington - Moore Park,15000,-90031.60878878042,-87234.90652690885,2796.702261871571,-70533.86395723371,-70988.14144029956,-454.27748306584544,455237649,416121630.4471044,-39116018.552895606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Balmain,15000,-96674.96460703571,-91769.96540260811,4904.9992044276005,-70330.42589370321,-70692.33519654212,-361.9093028389034,564773418,491289405.6620671,-73484012.33793288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
Leichhardt - Annandale,15000,-83126.04621979594,-81874.33825478979,1251.7079650061496,-62768.465079111535,-63260.3209418392,-491.8558627276652,758954664,716175360.420418,-42779303.579581976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50
