location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id,displacement_pct,,,,,,,,,
Pyrmont - Ultimo,5000,-22147.45099,-17463.04166,4684.409324,-12753.49025,-13627.21107,-873.7208241,384576844.5,245129321.6,-139447522.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.211510089,,,,,,
Redfern - Chippendale,5000,-23548.46006,-27108.60077,-3560.140712,-13245.38426,-14949.52503,-1704.140768,335991166.5,291950456.7,-44040709.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.151183589,,,,,,
Surry Hills,5000,-30385.65501,-27470.46314,2915.191866,-13779.19802,-13951.11431,-171.9162969,434639725,396545272,-38094452.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.095939741,,,,,,
Sydney - Haymarket - The Rocks,5000,-15238.06149,-18784.93313,-3546.871637,-11689.0842,-12771.39233,-1082.308128,316781790,343897672.9,27115882.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.232763967,,,,,,
Waterloo - Beaconsfield,5000,-27384.63688,-39808.11359,-12423.47671,-11998.50664,-14762.43447,-2763.927824,552057144,487992801.6,-64064342.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.453665928,,,,,,
Bondi Junction - Waverly,5000,-24841.53649,-21924.89858,2916.637909,-13710.68775,-14008.42525,-297.7374991,343127744,296241651.1,-46886092.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.117409723,,,,,,
Paddington - Moore Park,5000,-33672.1474,-30647.73752,3024.409879,-14174.40257,-14400.97243,-226.569866,455237649,416121630.4,-39116018.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.089819335,,,,,,
Balmain,5000,-40451.12859,-35380.00056,5071.128035,-14106.58988,-14302.37035,-195.7804726,564773418,491289405.7,-73484012.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.125364315,,,,,,
Leichhardt - Annandale,5000,-31943.51742,-30439.04958,1504.467835,-11585.93627,-11825.03227,-239.0959926,758954664,716175360.4,-42779303.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.047097751,,,,,,
Lilyfield - Rozelle,5000,-38171.69998,-36758.4322,1413.267774,-14727.43513,-14924.6633,-197.2281657,452765060,442806495.7,-9958564.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.037023967,,,,,,
